EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeAssists,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceFtPoints,PtsUnassisted3s,HeaveMakes,FTOffRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Transition Take Fouls,Offensive Fouls Drawn,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Corner3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,StepOutOfBoundsTurnovers,OffensiveGoaltends,Defensive 3 Seconds Violations,BlockedCorner3,3SecondViolations,on
1626204,1610612737,Larry Nance Jr.,Larry Nance Jr.,1626204,ATL,16328.0,272,-26,588,574,163.0,138,59,1162,25.0,35.0,3.0,4.0,8.0,10.0,7.0,15.0,2.0,3.0,8.0,16.0,1.0,4.0,9.0,23.0,1.0,1.0,2.0,5.0,34.0,53.0,17.0,39.0,7.0,126,683,4.0,7.0,1.0,1.0,11.0,9.0,12.0,3.0,9.0,1.0,28.0,58.0,10.0,51.0,6.0,1.0,22.0,9.0,4.0,1.0,9.0,9.0,18.0,4.0,5.0,3.0,6.0,45.0,6.0,5.0,24.0,18.0,3.0,45,11.0,56,2.0,15.0,7.0,8.0,5.0,2.0,5.0,4.0,1.0,9.0,1.0,1.0,8.0,19,1.0,1.0,17.0,5.0,1.0,10.0,4.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,28.0,162.0,1.0,0.8529411764705882,0.9354838709677419,1.0,0.4358974358974359,1.0,0.3333333333333333,0.4473684210526316,0.6415094339622641,0.5714285714285714,0.75,0.6467391304347826,0.6875,0.6428571428571429,0.6494845360824743,0.6875,0.6363636363636364,0.42391304347826086,0.02564102564102564,0.07547169811320754,0.05714285714285714,0.06666666666666667,0.3333333333333333,0.043478260869565216,16.109422492401215,0.5555555555555556,0.25,0.15384615384615385,0.041666666666666664,0.18461538461538463,0.041379310344827586,0.1700404858299595,0.04150943396226415,0.04081632653061224,0.04918032786885246,0.028846153846153848,0.07317073170731707,0.10416666666666667,0.1568627450980392,0.2777777777777778,0.19607843137254902,0.14285714285714285,0.05714285714285714,0.8,0.3804347826086957,0.7142857142857143,0.7575757575757576,0.8,0.16304347826086957,0.4666666666666667,0.5,1.0,0.03260869565217391,0.6666666666666666,1.0,1.0,0.17391304347826086,0.5,0.5,1.0,0.25,0.391304347826087,0.4090909090909091,1.0,0.5,0.75,0.125,1.0,1.0,0.47619047619047616,0.8,0.19047619047619047,0.25,0.23809523809523808,0.4,0.8043478260869565,0.4090909090909091,0.5662868131868132,0.5435666666666666,0.570365,0.041666666666666664,0.07017543859649122,0.0873015873015873,0.2222222222222222,4.022641509433963,25.376923076923074,0.27721088435374147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1627747,1610612737,Caris LeVert,Caris LeVert,1627747,ATL,3486.0,58,17,130,127,46.0,62,13,257,6.0,8.0,1.0,3.0,2.0,2.0,1.0,2.0,,1.0,3.0,4.0,1.0,1.0,3.0,9.0,,,1.0,2.0,7.0,11.0,6.0,13.0,5.0,37,143,1.0,3.0,,,2.0,2.0,3.0,2.0,3.0,3.0,13.0,12.0,2.0,18.0,,,9.0,3.0,,1.0,3.0,1.0,4.0,,1.0,2.0,,9.0,1.0,3.0,4.0,9.0,,13,4.0,17,2.0,,,,,,,1.0,,1.0,,1.0,6.0,8,,,4.0,,,8.0,3.0,1.0,2.0,2.0,,3.0,1.0,,13.0,44.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.46153846153846156,,0.6666666666666666,0.46153846153846156,0.6363636363636364,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6607142857142857,0.3333333333333333,0.8125,0.5416666666666666,0.07692307692307693,,,,,0.1111111111111111,19.594594594594597,,,0.2903225806451613,0.14285714285714285,0.16,0.03225806451612903,0.23214285714285715,0.07692307692307693,0.2,0.1,0.04,,0.25,0.375,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.2,0.3333333333333333,0.3333333333333333,0.75,0.75,0.8333333333333334,0.08333333333333333,0.5,0.5,1.0,0.041666666666666664,,,,0.16666666666666666,0.75,0.75,1.0,0.375,0.3333333333333333,0.375,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.5,0.875,0.3333333333333333,0.6042124999999999,0.6894,0.601875,0.1111111111111111,0.21428571428571427,0.05405405405405406,0.35135135135135137,3.809090909090909,25.00769230769231,0.35384615384615387,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1627777,1610612737,Georges Niang,Georges Niang,1627777,ATL,3799.0,63,39,140,137,36.0,63,13,277,4.0,6.0,,1.0,1.0,1.0,1.0,2.0,,,3.0,6.0,,2.0,3.0,11.0,,,1.0,3.0,5.0,8.0,6.0,17.0,1.0,29,134,,1.0,,1.0,,1.0,1.0,1.0,5.0,,5.0,10.0,,18.0,,,11.0,3.0,,,3.0,4.0,7.0,4.0,,3.0,,18.0,1.0,2.0,2.0,6.0,1.0,9,3.0,12,1.0,3.0,2.0,1.0,1.0,,1.0,,,1.0,,,2.0,4,1.0,,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,,5.0,34.0,,1.0,1.0,1.0,0.35294117647058826,,0.2,0.35294117647058826,0.625,,1.0,0.56,,0.4166666666666667,0.58,,0.4166666666666667,0.68,,,,,,,16.455696202531644,1.0,0.3333333333333333,0.15,0.08,0.06666666666666667,0.034482758620689655,0.11428571428571428,0.05555555555555555,,0.18181818181818182,,0.2,0.1111111111111111,0.125,0.2857142857142857,0.045454545454545456,0.125,0.07692307692307693,0.5,0.24,0.6666666666666666,0.6666666666666666,1.0,0.08,0.5,0.5,1.0,,,,,0.24,0.5,0.5,1.0,0.44,0.2727272727272727,0.2727272727272727,1.0,0.5,,,,,0.16666666666666666,1.0,0.3333333333333333,,0.5,0.3333333333333333,0.92,0.2727272727272727,0.560324,0.27885,0.5359583333333333,0.04,0.125,,0.1724137931034483,4.25,24.941176470588236,0.2571428571428571,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1629027,1610612737,Trae Young,Trae Young,1629027,ATL,110822.0,1847,14,4005,3994,1002.0,939,475,7999,80.0,147.0,6.0,8.0,29.0,42.0,117.0,261.0,26.0,63.0,17.0,43.0,5.0,7.0,133.0,403.0,7.0,26.0,39.0,111.0,223.0,471.0,150.0,446.0,312.0,1208,4611,13.0,27.0,15.0,41.0,102.0,57.0,117.0,44.0,118.0,145.0,391.0,144.0,302.0,147.0,4.0,5.0,397.0,132.0,36.0,5.0,407.0,180.0,587.0,117.0,63.0,295.0,95.0,1354.0,9.0,15.0,94.0,41.0,1.0,136,25.0,161,12.0,62.0,38.0,24.0,181.0,37.0,151.0,66.0,9.0,247.0,14.0,62.0,51.0,100,2.0,3.0,280.0,2.0,3.0,364.0,101.0,66.0,7.0,5.0,2.0,10.0,5.0,,367.0,982.0,46.0,0.32286995515695066,0.3257918552036199,0.32666666666666666,0.336322869955157,0.36585365853658536,0.3728813559322034,0.3378684807256236,0.4734607218683652,0.48148148148148145,0.48717948717948717,0.48854961832061067,0.5220588235294118,0.5234042553191489,0.5528266913809082,0.5952380952380952,0.6201923076923077,0.48636859323882226,0.011210762331838564,0.07643312101910828,0.09523809523809523,0.0842911877394636,,0.009925558312655087,28.918563922942205,0.7327935222672065,0.011904761904761904,0.04691075514874142,0.015957446808510637,0.10561797752808989,0.010146561443066516,0.07653061224489796,0.013136288998357963,0.012594458438287154,0.016771488469601678,0.012139605462822459,0.0043859649122807015,0.05187319884726225,0.03580562659846547,0.0661764705882353,0.11179173047473201,0.08860759493670886,0.024539877300613498,0.5,0.16030534351145037,0.54421768707483,0.6015037593984962,0.4375,0.2846237731733915,0.4482758620689655,0.4895397489539749,0.24786324786324787,0.06870229007633588,0.4126984126984127,0.4126984126984127,0.3076923076923077,0.04689203925845147,0.3953488372093023,0.40476190476190477,0.7647058823529411,0.4394765539803708,0.33002481389578164,0.3333333333333333,0.2706766917293233,0.11764705882352941,0.75,0.38235294117647056,0.2692307692307692,0.5714285714285714,0.17872340425531916,0.6904761904761905,0.029787234042553193,0.7142857142857143,0.4723404255319149,0.35135135135135137,0.6466739367502726,0.33249370277078083,0.5162284683684794,0.5025662162162162,0.5000339912280702,0.11154985192497532,0.18165467625899281,0.08443708609271523,0.32367549668874174,7.919108280254775,27.64730941704035,0.250187265917603,17.0,3.0,3.0,0.5,15.0,16.0,12.0,0.22058823529411764,8.0,31.0,303.0,1.0,1.0,11.0,30.0,2.0,1.0,18.0,3.0,1.0,15.0,12.0,0.023255813953488372,0.00909090909090909,0.030303030303030304,0.5333333333333333,1.0,0.0262582056892779,,,,,,,True
1629611,1610612737,Terance Mann,Terance Mann,1629611,ATL,2574.0,43,10,93,92,14.0,34,12,185,2.0,4.0,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,2.0,5.0,3.0,3.0,2.0,15,110,,2.0,2.0,2.0,7.0,1.0,1.0,,,,2.0,4.0,,9.0,,,2.0,2.0,,,5.0,1.0,6.0,,1.0,3.0,1.0,13.0,,4.0,2.0,1.0,1.0,4,4.0,8,,3.0,3.0,,1.0,,1.0,,,1.0,,,3.0,6,,,3.0,,,5.0,3.0,,,,,,,,2.0,14.0,,1.0,1.0,1.0,1.0,1.0,,1.0,0.4,,1.0,0.8125,0.75,1.0,0.75,0.7,1.0,0.375,,,,,,,9.909909909909908,1.0,0.3333333333333333,0.05263157894736842,0.18181818181818182,0.11764705882352941,,0.08333333333333333,0.08695652173913043,0.2222222222222222,0.16666666666666666,,,0.2,,,0.08333333333333333,0.2,,,0.5,0.5,0.5,1.0,0.125,,,,,,,,0.125,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,,0.25,1.0,1.0,1.0,1.0,,,,,0.875,1.0,0.592125,0.6306166666666667,0.8239,0.3,0.42857142857142855,0.4666666666666667,0.13333333333333333,1.9400000000000002,24.8,0.15053763440860216,1.0,,,,1.0,1.0,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,True
1630249,1610612737,Vít Krejčí,Vít Krejčí,1630249,ATL,23697.0,395,-28,837,839,209.0,226,93,1676,13.0,22.0,5.0,6.0,4.0,6.0,6.0,10.0,1.0,2.0,8.0,20.0,1.0,5.0,23.0,55.0,3.0,5.0,2.0,8.0,20.0,34.0,31.0,75.0,9.0,142,970,5.0,6.0,3.0,6.0,20.0,6.0,9.0,3.0,13.0,4.0,25.0,30.0,10.0,84.0,4.0,,55.0,23.0,6.0,,24.0,17.0,41.0,10.0,7.0,13.0,8.0,99.0,3.0,4.0,21.0,27.0,3.0,51,7.0,58,,14.0,9.0,5.0,4.0,2.0,3.0,5.0,,9.0,,2.0,17.0,35,1.0,,15.0,,,17.0,8.0,1.0,8.0,5.0,2.0,9.0,7.0,,25.0,205.0,,0.75,0.8333333333333334,0.9032258064516129,0.41333333333333333,0.5,0.23076923076923078,0.41333333333333333,0.5882352941176471,0.8333333333333334,0.6666666666666666,0.6100917431192661,0.7916666666666666,0.4772727272727273,0.6016949152542372,0.7692307692307693,0.5,0.6880733944954128,,0.17647058823529413,0.22727272727272727,0.1,,,13.305174234424497,0.4444444444444444,0.15,0.15,0.022988505747126436,0.11538461538461539,0.014354066985645933,0.13259668508287292,0.018276762402088774,,0.046511627906976744,0.012048192771084338,0.023255813953488372,0.13793103448275862,0.16483516483516483,0.12903225806451613,0.1111111111111111,0.125,,0.7777777777777778,0.2018348623853211,0.5909090909090909,0.7647058823529411,0.7692307692307693,0.09174311926605505,0.6,0.6666666666666666,0.6666666666666666,0.01834862385321101,0.5,0.5,1.0,0.1834862385321101,0.4,0.4,1.0,0.5045871559633027,0.41818181818181815,0.41818181818181815,0.8695652173913043,0.5,0.8333333333333334,0.4166666666666667,0.6,1.0,0.2727272727272727,0.6666666666666666,0.22727272727272727,0.2,0.36363636363636365,0.25,0.8899082568807339,0.41818181818181815,0.5804577981651378,0.66935625,0.5849931818181817,0.06837606837606838,0.19047619047619047,0.14084507042253522,0.176056338028169,3.341176470588236,25.456000000000003,0.24970131421744324,3.0,1.0,1.0,0.6,1.0,,2.0,0.08333333333333333,,1.0,9.0,,,3.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,True
1642258,1610612737,Zaccharie Risacher,Zaccharie Risacher,1642258,ATL,48603.0,810,-45,1754,1747,210.0,178,214,3501,75.0,124.0,18.0,27.0,7.0,12.0,20.0,58.0,4.0,12.0,30.0,67.0,2.0,6.0,23.0,82.0,2.0,6.0,4.0,10.0,99.0,194.0,53.0,149.0,52.0,409,2091,20.0,33.0,4.0,11.0,59.0,10.0,18.0,6.0,16.0,8.0,46.0,152.0,46.0,156.0,18.0,,82.0,23.0,20.0,2.0,19.0,20.0,39.0,9.0,11.0,8.0,11.0,98.0,20.0,22.0,33.0,33.0,4.0,70,43.0,113,5.0,27.0,18.0,9.0,22.0,,8.0,9.0,3.0,31.0,4.0,1.0,43.0,70,3.0,1.0,51.0,,4.0,71.0,28.0,4.0,19.0,13.0,5.0,19.0,5.0,,44.0,206.0,3.0,0.7676767676767676,0.8444444444444444,0.9811320754716981,0.35570469798657717,0.36363636363636365,0.375,0.35570469798657717,0.5103092783505154,0.6060606060606061,0.5555555555555556,0.5204081632653061,0.5909090909090909,0.5588235294117647,0.5467914438502673,0.6145833333333334,0.5897435897435898,0.43440233236151604,0.013422818791946308,0.10309278350515463,0.11290322580645161,0.10344827586206896,,,20.129224652087473,0.7096774193548387,0.13333333333333333,0.08571428571428572,0.04932735426008968,0.08870967741935484,0.05420054200542006,0.08718626155878467,0.051533742331288344,0.06285714285714286,0.044534412955465584,0.05904059040590406,0.04081632653061224,0.0915032679738562,0.08139534883720931,0.08333333333333333,0.07553956834532374,0.1276595744680851,0.029940119760479042,0.2631578947368421,0.36151603498542273,0.6048387096774194,0.6818181818181818,0.76,0.16909620991253643,0.3448275862068966,0.38461538461538464,0.85,0.03498542274052478,0.3333333333333333,0.3333333333333333,0.5,0.19533527696793002,0.44776119402985076,0.46153846153846156,1.0,0.239067055393586,0.2804878048780488,0.2804878048780488,0.9565217391304348,0.6136363636363636,0.6666666666666666,0.13636363636363635,0.3333333333333333,1.0,0.35294117647058826,0.5833333333333334,0.17647058823529413,0.3333333333333333,0.29411764705882354,0.4,0.7959183673469388,0.2804878048780488,0.5899036443148689,0.589601724137931,0.5909029411764707,0.08378378378378379,0.12844036697247707,0.14425427872860636,0.11246943765281174,4.602061855670103,24.658389261744972,0.11972633979475485,,,,0.3333333333333333,5.0,4.0,3.0,0.11363636363636363,2.0,7.0,3.0,,1.0,1.0,14.0,,,3.0,,,,3.0,0.029850746268656716,0.023809523809523808,,0.4,1.0,0.019736842105263157,1.0,2.0,2.0,1.0,,,True
1631243,1610612737,Mouhamed Gueye,Mouhamed Gueye,1631243,ATL,4155.0,69,-18,146,149,3.0,10,19,295,5.0,7.0,2.0,3.0,,,5.0,11.0,,,2.0,12.0,,,1.0,4.0,,,,,10.0,18.0,3.0,16.0,5.0,34,164,2.0,3.0,,1.0,8.0,,,,,,,18.0,2.0,9.0,2.0,,4.0,1.0,3.0,,1.0,2.0,3.0,1.0,1.0,,1.0,8.0,3.0,1.0,8.0,7.0,1.0,16,4.0,20,,7.0,2.0,5.0,,,,1.0,,1.0,,,3.0,5,1.0,,5.0,,,7.0,4.0,,4.0,2.0,2.0,5.0,4.0,,,3.0,,0.9,1.0,1.0,0.1875,,,0.1875,0.5555555555555556,0.6666666666666666,,0.4264705882352941,0.5,,0.4594594594594595,0.6666666666666666,,0.47058823529411764,,0.16666666666666666,0.14285714285714285,0.18181818181818182,,,22.89156626506024,,0.5,0.22580645161290322,0.02702702702702703,0.2857142857142857,0.07894736842105263,0.2542372881355932,0.05333333333333334,,0.041666666666666664,0.09090909090909091,0.0625,0.2,0.21052631578947367,0.2857142857142857,0.2608695652173913,0.4,,0.8,0.20588235294117646,0.7142857142857143,0.8333333333333334,0.8,0.3235294117647059,0.45454545454545453,0.5555555555555556,1.0,,,,,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,0.11764705882352941,0.25,0.25,1.0,0.75,0.6666666666666666,,,,,,,,,,0.6764705882352942,0.25,0.5497161764705883,0.597875,,0.10810810810810811,0.19047619047619047,0.23529411764705882,,5.388888888888889,24.06875,0.02054794520547945,,1.0,1.0,0.5,1.0,1.0,,0.25,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,True
1629631,1610612737,De'Andre Hunter,De'Andre Hunter,1629631,ATL,43552.0,726,64,1595,1581,663.0,595,182,3176,33.0,56.0,3.0,8.0,12.0,22.0,34.0,67.0,13.0,20.0,21.0,52.0,7.0,20.0,43.0,112.0,3.0,8.0,13.0,37.0,80.0,143.0,64.0,164.0,102.0,454,1824,9.0,19.0,5.0,13.0,40.0,31.0,53.0,20.0,57.0,61.0,183.0,106.0,54.0,186.0,6.0,1.0,111.0,43.0,20.0,,19.0,14.0,33.0,11.0,3.0,11.0,8.0,80.0,10.0,9.0,47.0,32.0,5.0,84,20.0,104,1.0,21.0,16.0,5.0,17.0,8.0,4.0,19.0,1.0,36.0,3.0,10.0,27.0,58,3.0,1.0,95.0,,8.0,120.0,38.0,23.0,3.0,,3.0,5.0,2.0,,181.0,650.0,22.0,0.6625,0.6883116883116883,0.96875,0.3902439024390244,0.38461538461538464,0.3508771929824561,0.39263803680981596,0.5594405594405595,0.47368421052631576,0.5849056603773585,0.5732899022801303,0.515625,0.5545454545454546,0.6243093922651933,0.5416666666666666,0.6232876712328768,0.5342019543973942,,0.13986013986013987,0.25,0.08955223880597014,,,22.06208425720621,0.4722222222222222,0.11904761904761904,0.09876543209876543,0.026706231454005934,0.1323943661971831,0.027932960893854747,0.11634756995581738,0.027338129496402876,0.028985507246376812,0.011764705882352941,0.026022304832713755,0.033707865168539325,0.08759124087591241,0.07913669064748201,0.1875,0.1111111111111111,0.18446601941747573,0.007194244604316547,0.4,0.18241042345276873,0.5892857142857143,0.7857142857142857,0.7575757575757576,0.2182410423452769,0.5074626865671642,0.5573770491803278,0.5294117647058824,0.06514657980456026,0.65,0.65,0.7692307692307693,0.16938110749185667,0.40384615384615385,0.40384615384615385,1.0,0.36482084690553745,0.38392857142857145,0.38392857142857145,0.9534883720930233,0.25,0.375,0.25,0.375,1.0,0.2,0.5454545454545454,0.18181818181818182,0.35,0.33636363636363636,0.35135135135135137,0.7166123778501629,0.38738738738738737,0.5411772875816994,0.5232318181818182,0.5388651376146788,0.11504424778761062,0.21839080459770116,0.0881057268722467,0.40308370044052866,6.9482517482517485,25.068292682926828,0.41567398119122256,,2.0,1.0,0.3333333333333333,5.0,7.0,11.0,0.15625,2.0,7.0,6.0,,1.0,4.0,13.0,1.0,,5.0,,,2.0,1.0,,0.02127659574468085,0.10344827586206896,0.4,1.0,0.006060606060606061,,4.0,,,1.0,,True
1629726,1610612737,Garrison Mathews,Garrison Mathews,1629726,ATL,26875.0,448,19,976,967,273.0,248,106,1943,5.0,9.0,,,2.0,2.0,4.0,9.0,,3.0,26.0,45.0,5.0,6.0,21.0,76.0,1.0,3.0,5.0,20.0,9.0,21.0,47.0,121.0,35.0,194,1090,1.0,1.0,1.0,3.0,7.0,2.0,3.0,10.0,26.0,12.0,46.0,12.0,6.0,138.0,,,76.0,21.0,2.0,,19.0,9.0,28.0,6.0,3.0,12.0,7.0,65.0,8.0,2.0,25.0,19.0,4.0,48,10.0,58,1.0,16.0,12.0,4.0,6.0,4.0,4.0,10.0,,16.0,,4.0,25.0,44,1.0,1.0,39.0,5.0,1.0,42.0,16.0,2.0,3.0,3.0,,5.0,1.0,,46.0,270.0,2.0,0.6666666666666666,0.6666666666666666,0.9787234042553191,0.3884297520661157,0.3333333333333333,0.38461538461538464,0.3884297520661157,0.42857142857142855,1.0,0.6666666666666666,0.5598591549295775,0.625,0.5862068965517241,0.610062893081761,0.7,0.6764705882352942,0.852112676056338,,0.09523809523809523,0.1111111111111111,0.1111111111111111,,,16.010978956999086,0.375,0.21052631578947367,0.08444444444444445,0.01020408163265306,0.11013215859030837,0.03278688524590164,0.09734513274336283,0.022727272727272728,,0.011111111111111112,0.03389830508474576,0.029850746268656716,0.05555555555555555,0.09345794392523364,0.14285714285714285,0.10344827586206896,0.1320754716981132,0.012195121951219513,0.2,0.06338028169014084,0.5555555555555556,0.625,0.6,0.06338028169014084,0.4444444444444444,0.5,0.75,0.02112676056338028,,,,0.31690140845070425,0.5777777777777777,0.5777777777777777,1.0,0.5352112676056338,0.27631578947368424,0.27631578947368424,0.9523809523809523,,,0.75,0.3333333333333333,,0.06896551724137931,1.0,0.20689655172413793,0.8333333333333334,0.6896551724137931,0.25,0.9154929577464789,0.27631578947368424,0.5578577464788732,,0.5435948275862069,0.1282051282051282,0.47058823529411764,0.03608247422680412,0.23711340206185566,6.647619047619047,24.95537190082645,0.2797131147540984,,2.0,1.0,,,3.0,3.0,,,2.0,3.0,,,1.0,2.0,,,5.0,,3.0,,5.0,,,0.05555555555555555,,,0.03278688524590164,,4.0,,,1.0,,True
