EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceArc3FGA,PtsPutbacks,Travels,Charge Fouls,BlockedShortMidRange,AtRimPctBlocked,OffCorner3ReboundPct,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,FTOffRebounds,FTDefRebounds,Charge Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,DefFTReboundPct,OffFTReboundPct,BlockedCorner3,3SecondViolations,DefensiveGoaltends,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,on,HeaveMakes,Corner3PctBlocked,Clear Path Fouls
101108,1610612760,Chris Paul,Chris Paul,101108,OKC,29023.0,484,80.0,974,973,235.0,198.0,113.0,1947,10.0,13.0,1.0,1.0,2.0,4.0,22.0,41.0,34.0,62.0,3.0,12.0,1.0,3.0,1.0,3.0,22.0,68.0,6.0,28.0,66.0,116.0,25.0,80.0,59.0,266.0,974,1.0,5.0,1.0,3.0,2.0,7.0,14.0,26.0,7.0,31.0,41.0,90.0,16.0,116.0,12.0,63.0,5.0,63.0,22.0,1.0,66.0,43.0,109.0,31.0,12.0,46.0,12.0,8.0,261.0,3.0,6.0,31.0,46.0,77.0,9.0,86.0,3.0,25.0,15.0,10.0,24.0,6.0,17.0,11.0,1.0,7.0,35.0,5.0,8.0,10.0,34.0,3.0,3.0,59.0,3.0,2.0,66.0,3.0,1.0,7.0,9.0,2.0,20.0,2.0,1.0,1.0,2.0,3.0,2.0,90.0,235.0,2.0,20.0,0.12121212121212122,0.12121212121212122,0.16,0.3125,0.3333333333333333,0.22580645161290322,0.3333333333333333,0.5689655172413793,0.2,0.5384615384615384,0.5280612244897959,0.3125,0.4298245614035088,0.5807174887892377,0.3888888888888889,0.5569620253164557,0.40816326530612246,0.008620689655172414,0.024390243902439025,23.475887170154685,0.6857142857142857,0.16312056737588654,0.024390243902439025,0.14761904761904762,0.014018691588785047,0.1565040650406504,0.01956521739130435,0.019801980198019802,0.02197802197802198,0.037037037037037035,0.019736842105263157,0.12389380530973451,0.17857142857142858,0.21052631578947367,0.13690476190476192,0.19047619047619047,0.031914893617021274,0.6666666666666666,0.0663265306122449,0.7692307692307693,0.7692307692307693,0.2,0.20918367346938777,0.5365853658536586,0.55,0.09090909090909091,0.3163265306122449,0.5483870967741935,0.5483870967741935,0.11764705882352941,0.061224489795918366,0.25,0.25,0.3469387755102041,0.3235294117647059,0.3235294117647059,0.18181818181818182,0.125,1.0,0.375,0.3333333333333333,0.07017543859649122,0.5,0.05263157894736842,0.3333333333333333,0.49122807017543857,0.21428571428571427,0.4744897959183674,0.3492063492063492,0.4689193121693122,0.449025,0.4584089999999999,0.054187192118226604,0.07377049180327869,0.024691358024691357,0.02631578947368421,0.3383458646616541,12.781034482758615,27.407500000000006,0.24127310061601642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1627846,1610612760,Abdel Nader,Abdel Nader,1627846,OKC,22299.0,372,-72.0,766,770,231.0,207.0,68.0,1536,29.0,37.0,4.0,5.0,8.0,10.0,9.0,16.0,3.0,9.0,9.0,25.0,1.0,2.0,5.0,11.0,14.0,42.0,4.0,9.0,41.0,62.0,23.0,67.0,21.0,172.0,828,5.0,7.0,3.0,6.0,1.0,20.0,9.0,16.0,9.0,20.0,9.0,54.0,48.0,34.0,66.0,3.0,,42.0,14.0,3.0,10.0,5.0,15.0,3.0,2.0,9.0,,1.0,35.0,4.0,3.0,20.0,17.0,37.0,7.0,44.0,1.0,9.0,4.0,5.0,8.0,1.0,5.0,14.0,2.0,3.0,22.0,1.0,8.0,13.0,33.0,,2.0,22.0,2.0,2.0,29.0,5.0,1.0,1.0,14.0,1.0,2.0,5.0,,,2.0,5.0,4.0,54.0,231.0,2.0,2.0,0.5853658536585366,0.6,0.9565217391304348,0.34328358208955223,0.5,0.45,0.34328358208955223,0.6612903225806451,0.7142857142857143,0.5625,0.5852713178294574,0.7307692307692307,0.625,0.6142857142857143,0.7692307692307693,0.6585365853658537,0.5193798449612403,0.04838709677419355,0.0625,19.2627824019025,0.36363636363636365,0.09340659340659341,0.014018691588785047,0.11363636363636363,0.026143790849673203,0.10335195530726257,0.01907356948228883,0.025974025974025976,0.011627906976744186,,0.01818181818181818,0.11267605633802817,0.06060606060606061,0.1111111111111111,0.1323529411764706,0.05,0.016129032258064516,0.8,0.2868217054263566,0.7837837837837838,0.8285714285714286,0.5862068965517241,0.12403100775193798,0.5625,0.6,0.5555555555555556,0.06976744186046512,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1937984496124031,0.36,0.36,0.32558139534883723,0.3333333333333333,0.3333333333333333,1.0,0.38461538461538464,0.8,0.15384615384615385,0.5,0.2777777777777778,0.8,0.3055555555555556,0.45454545454545453,0.25,0.4444444444444444,0.8062015503875969,0.3333333333333333,0.523465503875969,0.48914375,0.5060972222222222,0.10869565217391304,0.19718309859154928,0.014925373134328358,0.11627906976744186,0.313953488372093,5.606451612903226,25.01492537313432,0.30156657963446476,2.0,4.0,2.0,5.0,4.0,3.0,0.05405405405405406,0.046511627906976744,0.8888888888888888,0.75,1.0,0.3076923076923077,0.5,1.0,,,,,,,,,,,,,,,,,True,,,
1628390,1610612760,Terrance Ferguson,Terrance Ferguson,1628390,OKC,17926.0,299,-59.0,595,609,198.0,171.0,57.0,1204,3.0,9.0,1.0,2.0,1.0,3.0,1.0,5.0,,1.0,3.0,18.0,,2.0,,3.0,9.0,26.0,4.0,8.0,4.0,15.0,12.0,44.0,1.0,45.0,675,1.0,3.0,2.0,6.0,,8.0,1.0,6.0,4.0,11.0,1.0,15.0,8.0,,36.0,,,26.0,9.0,2.0,12.0,3.0,15.0,2.0,1.0,4.0,4.0,4.0,33.0,3.0,1.0,6.0,8.0,14.0,4.0,18.0,,9.0,6.0,3.0,3.0,1.0,3.0,3.0,1.0,,6.0,3.0,,19.0,34.0,2.0,,7.0,1.0,4.0,2.0,,,,,,1.0,2.0,,,,2.0,,15.0,198.0,1.0,1.0,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.36363636363636365,0.2727272727272727,0.26666666666666666,0.3333333333333333,0.16666666666666666,0.3728813559322034,0.4444444444444444,0.4117647058823529,0.375,0.4444444444444444,0.4166666666666667,0.7457627118644068,0.13333333333333333,,10.030395136778115,0.5,0.04597701149425287,0.006993006993006993,0.043478260869565216,0.02459016393442623,0.04487179487179487,0.01509433962264151,,,0.027777777777777776,0.024096385542168676,0.05,0.04,0.05128205128205128,0.04807692307692308,0.029411764705882353,,,0.15254237288135594,0.3333333333333333,0.42857142857142855,1.0,0.0847457627118644,0.2,0.2,1.0,0.01694915254237288,,,,0.3050847457627119,0.16666666666666666,0.16666666666666666,0.4406779661016949,0.34615384615384615,0.34615384615384615,1.0,0.2222222222222222,0.5,0.2222222222222222,,0.17647058823529413,0.3333333333333333,0.17647058823529413,,0.47058823529411764,0.5,0.8983050847457628,0.34615384615384615,0.5513322033898306,0.5243399999999999,0.5351911764705882,,,,0.17777777777777778,0.3333333333333333,5.44,24.647727272727273,0.33277310924369746,2.0,4.0,,,,2.0,0.2222222222222222,0.02564102564102564,1.0,1.0,,0.4444444444444444,0.5,1.0,1.0,,,,,,,,,,,,,,,,True,,,
1628977,1610612760,Hamidou Diallo,Hamidou Diallo,1628977,OKC,30265.0,504,21.0,1048,1050,326.0,305.0,122.0,2098,49.0,93.0,12.0,21.0,10.0,25.0,13.0,37.0,4.0,13.0,6.0,21.0,,2.0,2.0,4.0,4.0,12.0,,2.0,66.0,143.0,10.0,33.0,25.0,187.0,1078,14.0,24.0,,2.0,4.0,32.0,17.0,43.0,2.0,6.0,11.0,51.0,82.0,50.0,27.0,3.0,,12.0,4.0,11.0,9.0,14.0,23.0,12.0,2.0,5.0,4.0,,60.0,9.0,18.0,26.0,34.0,64.0,28.0,92.0,5.0,23.0,13.0,10.0,18.0,2.0,10.0,18.0,3.0,8.0,36.0,3.0,12.0,23.0,57.0,4.0,3.0,41.0,2.0,12.0,39.0,5.0,1.0,,20.0,1.0,2.0,5.0,,,2.0,5.0,3.0,51.0,326.0,5.0,,0.6212121212121212,0.7192982456140351,0.9,0.30303030303030304,,0.3333333333333333,0.30303030303030304,0.46153846153846156,0.5833333333333334,0.3953488372093023,0.4602272727272727,0.5384615384615384,0.40816326530612246,0.4844559585492228,0.5714285714285714,0.4722222222222222,0.1875,0.07692307692307693,0.08108108108108109,19.240506329113924,0.5,0.1152542372881356,0.061016949152542375,0.10743801652892562,0.047872340425531915,0.11173184357541899,0.055900621118012424,0.06837606837606838,0.07563025210084033,0.01694915254237288,0.03597122302158273,0.11607142857142858,0.09649122807017543,0.14492753623188406,0.09743589743589744,0.14893617021276595,0.058823529411764705,0.6,0.5284090909090909,0.5268817204301075,0.5764705882352941,0.6122448979591837,0.21022727272727273,0.35135135135135137,0.38235294117647056,0.6153846153846154,0.07386363636363637,0.3076923076923077,0.3076923076923077,0.75,0.11931818181818182,0.2857142857142857,0.2857142857142857,0.06818181818181818,0.3333333333333333,0.3333333333333333,1.0,0.8076923076923077,0.5714285714285714,0.07692307692307693,,0.5102040816326531,0.4,0.08163265306122448,0.5,0.04081632653061224,,0.7159090909090909,0.3333333333333333,0.5242167613636363,0.5308075,0.4724724489795918,0.1099476439790576,0.12658227848101267,0.030303030303030304,0.1711229946524064,0.2727272727272727,4.803496503496504,24.478787878787873,0.3110687022900763,,,18.0,4.0,6.0,2.0,0.08602150537634409,0.08163265306122448,0.8333333333333334,0.16666666666666666,,,,,,1.0,4.0,1.0,1.0,1.0,0.14285714285714285,0.03333333333333333,,,,,,,,,True,,,
1629647,1610612760,Darius Bazley,Darius Bazley,1629647,OKC,67775.0,1130,-79.0,2315,2339,709.0,622.0,231.0,4654,56.0,104.0,8.0,20.0,14.0,31.0,15.0,56.0,5.0,16.0,16.0,51.0,,5.0,2.0,11.0,33.0,90.0,10.0,21.0,76.0,176.0,49.0,141.0,43.0,342.0,2449,12.0,28.0,2.0,11.0,10.0,40.0,19.0,53.0,12.0,32.0,12.0,86.0,94.0,58.0,132.0,15.0,,90.0,33.0,28.0,19.0,22.0,41.0,18.0,4.0,11.0,4.0,4.0,104.0,5.0,24.0,90.0,114.0,216.0,30.0,246.0,13.0,23.0,17.0,6.0,26.0,2.0,19.0,19.0,1.0,7.0,45.0,2.0,12.0,32.0,55.0,1.0,2.0,50.0,1.0,7.0,62.0,4.0,,,31.0,,2.0,37.0,4.0,2.0,25.0,41.0,29.0,86.0,709.0,2.0,2.0,0.618421052631579,0.6811594202898551,0.8979591836734694,0.3475177304964539,0.18181818181818182,0.375,0.3475177304964539,0.4318181818181818,0.42857142857142855,0.3584905660377358,0.471608832807571,0.38461538461538464,0.43529411764705883,0.49421965317919075,0.45454545454545453,0.4479166666666667,0.444794952681388,0.1590909090909091,0.2857142857142857,15.190365190365192,0.5777777777777777,0.17619783616692428,0.038461538461538464,0.16917293233082706,0.01098901098901099,0.17302798982188294,0.026876737720111215,0.04878048780487805,0.0502092050209205,,0.015337423312883436,0.17959183673469387,0.17054263565891473,0.18055555555555555,0.18028846153846154,0.12931034482758622,0.08074534161490683,0.7073170731707317,0.3280757097791798,0.5384615384615384,0.6086956521739131,0.5357142857142857,0.17665615141955837,0.26785714285714285,0.375,0.8,0.050473186119873815,0.3125,0.3125,1.0,0.1608832807570978,0.3137254901960784,0.3137254901960784,0.28391167192429023,0.36666666666666664,0.36666666666666664,0.8484848484848485,0.5128205128205128,0.4,0.1282051282051282,,0.36470588235294116,0.45161290322580644,0.12941176470588237,0.18181818181818182,0.24705882352941178,0.47619047619047616,0.7728706624605678,0.36666666666666664,0.5310233438485803,0.5410393939393939,0.5097747058823531,0.09011627906976744,0.15270935960591134,,0.11695906432748537,0.25146198830409355,4.93465909090909,24.755319148936188,0.3062634989200864,2.0,6.0,14.0,7.0,6.0,10.0,0.11538461538461539,,1.0,,,0.15384615384615385,0.3333333333333333,0.5,,1.0,12.0,,2.0,1.0,0.26666666666666666,0.015384615384615385,2.0,,,,,,,,True,,,
1629652,1610612760,Luguentz Dort,Luguentz Dort,1629652,OKC,11576.0,193,-29.0,399,408,134.0,97.0,42.0,807,7.0,23.0,3.0,6.0,1.0,9.0,,6.0,,1.0,3.0,10.0,,1.0,1.0,4.0,5.0,18.0,,2.0,7.0,30.0,8.0,28.0,10.0,48.0,442,3.0,6.0,,3.0,1.0,7.0,1.0,12.0,1.0,6.0,4.0,9.0,6.0,8.0,24.0,,,18.0,5.0,3.0,4.0,1.0,5.0,1.0,,3.0,1.0,,11.0,2.0,5.0,6.0,4.0,10.0,7.0,17.0,2.0,10.0,3.0,7.0,3.0,2.0,2.0,4.0,,1.0,7.0,,2.0,13.0,26.0,3.0,,19.0,2.0,7.0,16.0,2.0,,,6.0,,3.0,,,,,,,9.0,134.0,1.0,2.0,0.42857142857142855,0.75,1.0,0.2857142857142857,,0.16666666666666666,0.2857142857142857,0.23333333333333334,0.5,0.08333333333333333,0.3275862068965517,0.3333333333333333,0.1388888888888889,0.36923076923076925,0.35,0.20454545454545456,0.4827586206896552,0.1,0.3333333333333333,16.179775280898877,0.42857142857142855,0.04081632653061224,0.042735042735042736,0.061224489795918366,0.023255813953488372,0.05102040816326531,0.034482758620689655,0.031746031746031744,0.08571428571428572,,0.014925373134328358,,0.05555555555555555,0.08333333333333333,0.07792207792207792,,0.05,,0.39655172413793105,0.30434782608695654,0.3181818181818182,0.42857142857142855,0.10344827586206896,,,,0.017241379310344827,,,,0.1724137931034483,0.3,0.3,0.3103448275862069,0.2777777777777778,0.2777777777777778,1.0,0.6666666666666666,0.5,0.1111111111111111,,0.5,0.1111111111111111,0.2222222222222222,0.25,0.1111111111111111,,0.8793103448275862,0.2777777777777778,0.5480870689655174,0.6000071428571429,0.518788888888889,0.0967741935483871,0.17647058823529413,,0.14583333333333334,0.1875,3.5033333333333343,25.057142857142853,0.3358395989974937,,2.0,6.0,1.0,1.0,,0.043478260869565216,0.05263157894736842,1.0,,,0.2222222222222222,,,,,,1.0,,,,,,,,,,,,,True,,,
203500,1610612760,Steven Adams,Steven Adams,203500,OKC,21851.0,364,1.0,716,736,159.0,163.0,80.0,1452,42.0,56.0,14.0,20.0,10.0,15.0,17.0,42.0,,,,1.0,,,,,,,,,59.0,98.0,,1.0,22.0,140.0,767,14.0,23.0,,,6.0,34.0,13.0,24.0,,,6.0,32.0,74.0,44.0,,,,,,8.0,34.0,11.0,45.0,10.0,1.0,15.0,10.0,9.0,101.0,11.0,25.0,35.0,45.0,81.0,40.0,121.0,4.0,8.0,6.0,2.0,13.0,2.0,8.0,12.0,,5.0,25.0,1.0,4.0,13.0,26.0,4.0,4.0,50.0,4.0,,46.0,5.0,,,21.0,,5.0,11.0,3.0,2.0,4.0,14.0,7.0,32.0,159.0,,4.0,0.6271186440677966,0.7551020408163265,,,,,,0.6020408163265306,0.6086956521739131,0.5416666666666666,0.5959595959595959,0.6086956521739131,0.5416666666666666,0.5833333333333334,0.6538461538461539,0.5714285714285714,0.010101010101010102,0.08163265306122448,0.14285714285714285,17.77777777777778,0.52,0.21951219512195122,0.12437810945273632,0.19886363636363635,0.08527131782945736,0.2099737532808399,0.10909090909090909,0.11842105263157894,0.125,0.13333333333333333,0.08695652173913043,0.17647058823529413,0.23404255319148937,0.2558139534883721,0.2028985507246377,0.18421052631578946,0.125,0.5,0.5656565656565656,0.75,0.7777777777777778,0.5952380952380952,0.42424242424242425,0.40476190476190477,0.4722222222222222,0.7058823529411765,,,,,0.010101010101010102,,,,,,,0.8695652173913043,0.7,,,0.625,0.6666666666666666,,,,,0.5757575757575758,,0.49176868686868686,0.5515333333333333,0.5179874999999999,0.1826086956521739,0.18421052631578946,,0.24285714285714285,0.22857142857142856,4.234693877551021,23.7,0.22206703910614525,,,20.0,3.0,1.0,7.0,0.03571428571428571,0.08108108108108109,,0.14285714285714285,,,,,,4.0,1.0,2.0,,,0.1111111111111111,0.13793103448275862,1.0,2.0,,,,,,,True,,,
1628987,1610612760,Kevin Hervey,Kevin Hervey,1628987,OKC,1156.0,19,-9.0,45,44,18.0,16.0,5.0,89,,,,,,,,1.0,2.0,2.0,,,,,,,1.0,4.0,,2.0,2.0,3.0,1.0,4.0,,7.0,56,,,,,,,,,,2.0,,,2.0,2.0,3.0,,,4.0,1.0,,2.0,,2.0,,,1.0,,1.0,4.0,1.0,,3.0,1.0,4.0,1.0,5.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,18.0,,,0.5,0.5,1.0,0.25,,,0.25,0.6666666666666666,,,0.5,,,0.5,,,0.5714285714285714,,,13.72549019607843,,0.16666666666666666,,0.25,0.1,0.2222222222222222,0.045454545454545456,,,,0.1111111111111111,0.25,,,0.2,0.5,,,,,,,0.14285714285714285,,,,0.2857142857142857,1.0,1.0,0.5,,,,0.5714285714285714,0.25,0.25,1.0,,,,,,,,,1.0,,0.5714285714285714,0.25,0.4543499999999999,,0.44084999999999996,,,,,,16.03333333333333,26.875,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1629126,1610612760,Deonte Burton,Deonte Burton,1629126,OKC,9167.0,153,-30.0,332,339,127.0,138.0,28.0,671,14.0,25.0,2.0,3.0,8.0,11.0,1.0,4.0,2.0,6.0,1.0,5.0,,,,,4.0,16.0,1.0,7.0,17.0,35.0,5.0,21.0,5.0,54.0,364,2.0,4.0,,,,4.0,9.0,15.0,1.0,7.0,5.0,26.0,22.0,12.0,12.0,3.0,3.0,13.0,4.0,3.0,3.0,6.0,9.0,3.0,3.0,3.0,,,24.0,2.0,1.0,14.0,7.0,21.0,3.0,24.0,,3.0,2.0,1.0,4.0,1.0,3.0,6.0,1.0,1.0,10.0,1.0,2.0,9.0,16.0,1.0,,8.0,3.0,,5.0,3.0,,,3.0,,1.0,2.0,,,2.0,2.0,1.0,26.0,127.0,3.0,1.0,0.6470588235294118,0.6875,0.8,0.23809523809523808,,0.14285714285714285,0.2777777777777778,0.4857142857142857,0.5,0.6,0.4375,0.5,0.4772727272727273,0.47368421052631576,0.5,0.5652173913043478,0.375,0.08571428571428572,0.25,18.61111111111111,0.4,0.08139534883720931,0.010416666666666666,0.1590909090909091,0.03636363636363636,0.1206896551724138,0.019867549668874173,,0.03125,,0.025,0.08571428571428572,0.06896551724137931,0.09090909090909091,0.18055555555555555,0.0625,,0.5,0.44642857142857145,0.56,0.6086956521739131,0.6428571428571429,0.07142857142857142,0.25,0.3333333333333333,,0.10714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.08928571428571429,0.2,0.2,0.2857142857142857,0.25,0.25,0.75,0.75,0.6666666666666666,,,0.5,0.7272727272727273,,,0.3181818181818182,0.14285714285714285,0.8214285714285714,0.3076923076923077,0.5369216981132076,0.50335,0.5289925,0.05357142857142857,0.08571428571428572,,0.07407407407407407,0.48148148148148145,5.242857142857143,32.076190476190476,0.3825301204819277,,,2.0,4.0,,,0.08,0.06666666666666667,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,True,,,
203457,1610612760,Nerlens Noel,Nerlens Noel,203457,OKC,24149.0,402,-47.0,818,821,291.0,218.0,88.0,1639,39.0,48.0,13.0,17.0,11.0,15.0,5.0,18.0,4.0,13.0,,1.0,,,,,,1.0,,1.0,48.0,79.0,,2.0,27.0,123.0,845,13.0,18.0,,,8.0,34.0,12.0,23.0,,1.0,15.0,39.0,70.0,26.0,,,1.0,,,3.0,18.0,8.0,26.0,6.0,2.0,12.0,2.0,4.0,60.0,13.0,27.0,32.0,39.0,77.0,40.0,117.0,2.0,22.0,9.0,13.0,10.0,5.0,7.0,17.0,,3.0,27.0,5.0,8.0,30.0,61.0,5.0,6.0,36.0,4.0,5.0,36.0,4.0,,,12.0,,8.0,35.0,1.0,1.0,24.0,36.0,25.0,39.0,291.0,6.0,7.0,0.7291666666666666,0.9722222222222222,,,,,,0.6075949367088608,0.7222222222222222,0.5217391304347826,0.5925925925925926,0.7222222222222222,0.5,0.634020618556701,0.7391304347826086,0.5735294117647058,0.024691358024691357,0.0379746835443038,0.05555555555555555,13.55191256830601,0.37037037037037035,0.15294117647058825,0.1125,0.17582417582417584,0.08441558441558442,0.16247139588100687,0.10152284263959391,0.18823529411764706,0.08163265306122448,0.05263157894736842,0.08571428571428572,0.12,0.16346153846153846,0.19607843137254902,0.14388489208633093,0.27906976744186046,0.06896551724137931,0.6944444444444444,0.5925925925925926,0.8125,0.8478260869565217,0.6666666666666666,0.2222222222222222,0.2777777777777778,0.29411764705882354,1.0,0.16049382716049382,0.3076923076923077,0.3076923076923077,1.0,0.012345679012345678,,,0.012345679012345678,,,,0.9444444444444444,0.7647058823529411,,,0.625,0.7333333333333333,,,0.041666666666666664,,0.6172839506172839,,0.5446325,0.5821714285714286,0.5554173913043478,0.1348314606741573,0.13793103448275862,,0.2764227642276423,0.3170731707317073,5.753164556962025,35.7,0.35574572127139364,,,24.0,4.0,,11.0,0.041666666666666664,0.08163265306122448,,0.07692307692307693,,,,,,,6.0,2.0,,,0.35294117647058826,,,,3.0,1.0,1.0,0.5,1.0,,True,,,
