EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,FTOffRebounds,SelfOReb,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,DefensiveGoaltends,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,ShortMidRangeAssists,LongMidRangeAssists,BlockingFouls,Clear Path Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceFg3Pct,AtRimPctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceCorner3FGM,Fg3aBlocked,ThreePtShootingFoulsDrawn,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Arc3PctBlocked,SecondChanceAtRimPctAssisted,Charge Fouls,Defensive 3 Seconds Violations,LongMidRangePctBlocked,3SecondViolations,OffensiveGoaltends,on
1740,1610612748,Rashard Lewis,Rashard Lewis,1740,MIA,7100.0,118,-9,226,225,55.0,52.0,24.0,451,6.0,6.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,11.0,1.0,2.0,3.0,9.0,1.0,1.0,2.0,11.0,16,6.0,20.0,5.0,45.0,223,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,12.0,14.0,8.0,18.0,9.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,12.0,2.0,1.0,5.0,17.0,2.0,24.0,3.0,27.0,3.0,2.0,1.0,9.0,1.0,7.0,4.0,1.0,2.0,13.0,1.0,3.0,6.0,10.0,2.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,54.0,1.0,1.0,0.6363636363636364,0.6363636363636364,1.0,0.3,0.5,0.3,0.6875,1.0,0.6666666666666666,0.5555555555555556,0.5,0.7142857142857143,0.5769230769230769,0.6666666666666666,0.75,0.5555555555555556,0.0625,0.2,20.8,0.6923076923076923,0.2857142857142857,0.19101123595505617,0.017543859649122806,0.16666666666666666,0.047619047619047616,0.18487394957983194,0.030303030303030304,0.06666666666666667,0.05,0.045454545454545456,0.125,0.2608695652173913,0.20588235294117646,0.15789473684210525,0.18181818181818182,1.0,0.16666666666666666,1.0,1.0,0.6666666666666666,0.1388888888888889,0.4,0.5,0.5,0.1388888888888889,0.6,0.6,0.6666666666666666,0.3055555555555556,0.2727272727272727,0.2727272727272727,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.2857142857142857,1.0,0.2857142857142857,0.5,0.2857142857142857,0.5,0.7222222222222222,0.3333333333333333,0.5100847222222221,0.49229285714285714,0.05263157894736842,0.1111111111111111,0.08888888888888889,0.26666666666666666,9.09375,24.09,0.24336283185840707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,15125.0,252,12,472,471,154.0,144.0,45.0,943,10.0,14.0,4.0,4.0,3.0,14.0,,,,,,,,,,,,13.0,28,,,4.0,30.0,505,6.0,9.0,,2.0,14.0,6.0,9.0,,,3.0,15.0,16.0,10.0,,,,1.0,2.0,3.0,5.0,2.0,1.0,2.0,13.0,10.0,7.0,14.0,19.0,3.0,36.0,18.0,54.0,6.0,3.0,3.0,4.0,,3.0,3.0,,1.0,7.0,2.0,2.0,5.0,14.0,1.0,10.0,5.0,3.0,,,,17.0,10.0,15.0,154.0,3.0,,0.6153846153846154,1.0,,,,,0.4642857142857143,0.6666666666666666,0.6666666666666666,0.4642857142857143,0.6666666666666666,0.6666666666666666,0.5,0.7,0.75,,0.03571428571428571,0.07142857142857142,7.0745697896749515,0.5714285714285714,0.25,0.11801242236024845,0.05185185185185185,0.2222222222222222,0.11764705882352941,0.14732142857142858,0.07727272727272727,0.0967741935483871,0.125,0.10810810810810811,0.14814814814814814,0.08,0.12280701754385964,0.22916666666666666,0.2,0.5882352941176471,0.5,0.7142857142857143,0.7142857142857143,0.5,0.5,0.21428571428571427,0.23076923076923078,1.0,,,,,,,,,,,,,,0.4444444444444444,1.0,,,,,0.5,,0.4866,0.49525555555555556,0.1,0.1,0.4666666666666667,0.5,5.067857142857143,,0.326271186440678,5.0,7.0,10.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,17.0,10.0,7.0,1.0,0.1111111111111111,0.02,0.05555555555555555,0.14285714285714285,0.7777777777777778,0.7142857142857143,0.48164999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,46166.0,769,264,1465,1463,389.0,360.0,140.0,2928,30.0,45.0,8.0,12.0,9.0,32.0,4.0,11.0,10.0,26.0,1.0,4.0,30.0,76.0,5.0,8.0,20.0,43.0,88,40.0,102.0,35.0,241.0,1479,1.0,3.0,6.0,3.0,8.0,13.0,24.0,9.0,24.0,18.0,71.0,36.0,50.0,87.0,74.0,30.0,12.0,69.0,30.0,99.0,16.0,14.0,45.0,228.0,1.0,5.0,20.0,42.0,1.0,63.0,7.0,70.0,45.0,32.0,13.0,25.0,8.0,22.0,16.0,3.0,3.0,41.0,1.0,11.0,25.0,70.0,2.0,49.0,49.0,9.0,13.0,,,2.0,2.0,71.0,385.0,8.0,10.0,0.4186046511627907,0.42857142857142855,0.725,0.39215686274509803,0.375,0.4,0.48863636363636365,0.3333333333333333,0.5416666666666666,0.5421052631578948,0.2777777777777778,0.5520833333333334,0.5589622641509434,0.36363636363636365,0.5833333333333334,0.5368421052631579,0.13636363636363635,0.21875,15.446153846153846,0.6097560975609756,0.03333333333333333,0.07924528301886792,0.013227513227513227,0.09523809523809523,0.0043859649122807015,0.08378378378378379,0.009900990099009901,,0.007518796992481203,,0.06735751295336788,0.046357615894039736,0.11827956989247312,0.0979020979020979,0.08955223880597014,1.0,0.23684210526315788,0.6666666666666666,0.75,0.4,0.16842105263157894,0.28125,0.36,0.3333333333333333,0.05789473684210526,0.36363636363636365,0.36363636363636365,0.75,0.1368421052631579,0.38461538461538464,0.38461538461538464,0.8,0.4,0.39473684210526316,0.39473684210526316,0.7,0.5555555555555556,0.25,0.6666666666666666,0.08333333333333333,0.25,0.4166666666666667,0.4,0.7736842105263158,0.40540540540540543,0.5461970744680851,0.5304239130434782,0.04522613065326633,0.09278350515463918,0.03319502074688797,0.2946058091286307,6.101136363636363,25.66176470588236,0.26552901023890785,,1.0,2.0,1.0,1.0,1.0,,4.0,4.0,1.0,8.0,,2.0,2.0,,,0.027777777777777776,0.031746031746031744,0.007692307692307693,0.010869565217391304,0.1111111111111111,,0.5120250000000001,1.0,1.0,1.0,33.0,2.0,4.0,20.0,3.0,1.0,1.0,5.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.2,,,,,,,,,,,,,,,,,,,True
2034,1610612748,Mike Miller,Mike Miller,2034,MIA,17555.0,293,29,538,537,93.0,90.0,47.0,1075,8.0,10.0,1.0,1.0,,4.0,1.0,7.0,8.0,21.0,,,17.0,35.0,6.0,3.0,7.0,9.0,21,25.0,56.0,5.0,98.0,566,2.0,3.0,7.0,,16.0,1.0,2.0,3.0,7.0,2.0,13.0,8.0,10.0,69.0,35.0,17.0,2.0,24.0,9.0,33.0,7.0,2.0,16.0,75.0,3.0,3.0,11.0,42.0,1.0,54.0,6.0,60.0,4.0,4.0,,11.0,1.0,8.0,4.0,,3.0,15.0,1.0,2.0,9.0,15.0,1.0,7.0,7.0,,2.0,,,4.0,2.0,12.0,92.0,,1.0,0.4444444444444444,0.5714285714285714,0.92,0.44642857142857145,0.42857142857142855,0.44642857142857145,0.42857142857142855,0.6666666666666666,0.5,0.6038961038961039,0.8,0.6111111111111112,0.6125,0.8,0.5909090909090909,0.7272727272727273,0.09523809523809523,0.25,16.07445008460237,0.7333333333333333,0.09090909090909091,0.20388349514563106,0.023255813953488372,0.13924050632911392,0.03225806451612903,0.18596491228070175,0.02702702702702703,0.027777777777777776,,0.07692307692307693,0.14285714285714285,0.21621621621621623,0.2463768115942029,0.17307692307692307,0.07407407407407407,0.5,0.12987012987012986,0.8,0.8888888888888888,0.375,0.05194805194805195,,,,0.09090909090909091,0.14285714285714285,0.14285714285714285,1.0,0.2727272727272727,0.38095238095238093,0.4,0.875,0.45454545454545453,0.4857142857142857,0.4857142857142857,0.9411764705882353,0.6,0.1111111111111111,1.0,,,0.7777777777777778,0.42857142857142855,0.8571428571428571,0.4857142857142857,0.5506407894736842,0.5363,0.01282051282051282,,0.16326530612244897,0.1326530612244898,8.419047619047618,25.155357142857138,0.17286245353159851,2.0,2.0,4.0,,,,2.0,,1.0,,,,4.0,,3.0,,,0.022727272727272728,0.02040816326530612,,0.2,1.0,0.539625,1.0,3.0,4.0,6.0,,3.0,5.0,,,1.0,,0.5714285714285714,0.1,0.1,0.5,1.0,1.0,1.0,1.0,0.017857142857142856,0.047619047619047616,1.0,1.0,1.0,0.017543859649122806,,,,,,,,,True
2203,1610612748,Shane Battier,Shane Battier,2203,MIA,107176.0,1786,339,3348,3357,925.0,852.0,318.0,6705,11.0,23.0,1.0,1.0,5.0,19.0,,4.0,88.0,191.0,25.0,60.0,48.0,125.0,13.0,14.0,35.0,16.0,46,136.0,316.0,32.0,472.0,3480,4.0,7.0,21.0,1.0,39.0,3.0,9.0,39.0,95.0,17.0,140.0,22.0,10.0,405.0,124.0,48.0,7.0,47.0,25.0,72.0,12.0,13.0,28.0,169.0,14.0,15.0,31.0,88.0,9.0,128.0,37.0,165.0,41.0,29.0,12.0,21.0,8.0,16.0,13.0,,5.0,34.0,3.0,9.0,98.0,149.0,3.0,66.0,38.0,6.0,8.0,1.0,1.0,55.0,27.0,140.0,918.0,10.0,7.0,0.6875,0.6875,0.9926470588235294,0.43037974683544306,0.4105263157894737,0.43174603174603177,0.34782608695652173,0.5714285714285714,0.3333333333333333,0.6077348066298343,0.6785714285714286,0.5913461538461539,0.6226912928759895,0.6724137931034483,0.6194690265486725,0.8729281767955801,0.15217391304347827,0.05263157894736842,11.14409066378845,0.6176470588235294,0.10465116279069768,0.07534246575342465,0.01675977653631285,0.06212424849699399,0.027888446215139442,0.07138572285542892,0.020758768790264854,0.014084507042253521,0.03436426116838488,0.018957345971563982,0.08095238095238096,0.06936416184971098,0.07462686567164178,0.05352112676056338,0.08333333333333333,0.4909090909090909,0.06353591160220995,0.4782608695652174,0.6470588235294118,0.8181818181818182,0.052486187845303865,0.2631578947368421,0.2777777777777778,0.4,0.011049723756906077,,,,0.5276243093922652,0.4607329842931937,0.4656084656084656,1.0,0.3453038674033149,0.384,0.3870967741935484,0.9791666666666666,0.4642857142857143,0.009615384615384616,1.0,0.5769230769230769,0.4166666666666667,0.33653846153846156,0.4,0.93646408839779,0.3870967741935484,0.5503386111111112,0.5253225490196078,0.026954177897574125,0.11538461538461539,0.0826271186440678,0.2966101694915254,6.117391304347826,24.40632911392405,0.27628434886499403,3.0,4.0,,8.0,4.0,,2.0,14.0,19.0,7.0,9.0,,54.0,39.0,13.0,,0.0851063829787234,0.014492753623188406,0.020895522388059702,0.020833333333333332,0.14285714285714285,0.75,0.5157277777777778,8.0,6.0,10.0,3.0,1.0,10.0,9.0,4.0,,,,0.47619047619047616,0.2608695652173913,0.2857142857142857,0.46153846153846156,4.0,3.0,4.0,2.0,0.00949367088607595,0.010471204188481676,0.5,1.0,0.8333333333333334,0.012539184952978056,1.0,0.008,0.6666666666666666,,,,,,True
202708,1610612748,Norris Cole,Norris Cole,202708,MIA,48920.0,815,19,1493,1510,355.0,329.0,127.0,3003,43.0,85.0,7.0,15.0,4.0,23.0,22.0,63.0,10.0,31.0,2.0,6.0,7.0,14.0,1.0,,3.0,69.0,171,17.0,45.0,22.0,211.0,1589,3.0,8.0,1.0,2.0,11.0,13.0,33.0,2.0,9.0,10.0,42.0,48.0,90.0,48.0,14.0,7.0,15.0,55.0,24.0,79.0,11.0,13.0,41.0,182.0,3.0,3.0,20.0,33.0,1.0,54.0,6.0,60.0,31.0,19.0,12.0,24.0,7.0,20.0,21.0,3.0,4.0,45.0,4.0,7.0,38.0,78.0,,38.0,34.0,15.0,4.0,,,5.0,4.0,42.0,353.0,2.0,4.0,0.34782608695652173,0.35294117647058826,0.9411764705882353,0.37777777777777777,0.2222222222222222,0.37777777777777777,0.40350877192982454,0.375,0.3939393939393939,0.4375,0.5,0.38095238095238093,0.45670995670995673,0.55,0.4375,0.20833333333333334,0.08771929824561403,0.08695652173913043,16.87041564792176,0.5333333333333333,0.022727272727272728,0.06432748538011696,0.007263922518159807,0.0881057268722467,0.014084507042253521,0.07162162162162163,0.009584664536741214,0.015267175572519083,0.008403361344537815,0.02127659574468085,0.08152173913043478,0.043209876543209874,0.0658682634730539,0.09259259259259259,0.07692307692307693,0.8,0.39351851851851855,0.5058823529411764,0.589041095890411,0.20930232558139536,0.10648148148148148,0.17391304347826086,0.19047619047619047,0.5,0.2916666666666667,0.3492063492063492,0.3548387096774194,0.5909090909090909,0.14351851851851852,0.3225806451612903,0.3225806451612903,1.0,0.06481481481481481,0.5,0.5,0.8571428571428571,0.1111111111111111,0.35714285714285715,0.4666666666666667,0.14285714285714285,0.3333333333333333,0.07142857142857142,,0.6018518518518519,0.5,0.5362254629629629,0.5085547619047619,0.06607929515418502,0.08241758241758242,0.052132701421800945,0.1990521327014218,8.919298245614039,24.155555555555555,0.2377762893503014,2.0,5.0,2.0,,,3.0,3.0,2.0,1.0,,3.0,4.0,5.0,1.0,3.0,,,,0.006172839506172839,,0.5555555555555556,0.4,0.582675,,1.0,1.0,3.0,,6.0,8.0,3.0,,2.0,,1.0,0.1411764705882353,,1.0,,,,1.0,,,,,1.0,,,,,5.0,1.0,0.015873015873015872,,,True
2365,1610612748,Chris Andersen,Chris Andersen,2365,MIA,25718.0,429,66,779,786,223.0,203.0,67.0,1565,43.0,63.0,10.0,17.0,3.0,10.0,2.0,7.0,,,,,,1.0,,,1.0,48.0,80,,1.0,36.0,132.0,825,5.0,13.0,,5.0,15.0,11.0,23.0,,1.0,15.0,37.0,82.0,14.0,,1.0,,9.0,5.0,5.0,10.0,2.0,3.0,4.0,25.0,6.0,21.0,30.0,35.0,13.0,78.0,27.0,105.0,10.0,6.0,4.0,5.0,1.0,2.0,11.0,1.0,3.0,16.0,1.0,3.0,28.0,60.0,5.0,56.0,52.0,23.0,7.0,,,29.0,15.0,37.0,223.0,7.0,5.0,0.8541666666666666,0.9111111111111111,,,,,0.6,0.38461538461538464,0.4782608695652174,0.5925925925925926,0.38461538461538464,0.4583333333333333,0.6346153846153846,0.46875,0.5441176470588235,0.012345679012345678,0.1125,0.1,13.86946386946387,0.3125,0.5,0.13409961685823754,0.0995260663507109,0.234375,0.05357142857142857,0.16709511568123395,0.08359133126934984,0.17105263157894737,0.04918032786885246,0.058823529411764705,0.08823529411764706,0.18181818181818182,0.14634146341463414,0.25274725274725274,0.1891891891891892,0.5172413793103449,0.7777777777777778,0.6825396825396826,0.7818181818181819,0.8372093023255814,0.12345679012345678,0.3,0.3333333333333333,1.0,0.08641975308641975,0.2857142857142857,0.2857142857142857,1.0,,,,,0.012345679012345678,,,,,0.7083333333333334,0.5882352941176471,,,0.041666666666666664,,0.7901234567901234,,0.5858290123456792,0.54526875,0.23711340206185566,0.23958333333333334,0.11363636363636363,0.2803030303030303,3.43125,27.1,0.2862644415917843,5.0,13.0,6.0,,3.0,,1.0,6.0,2.0,9.0,,7.0,29.0,24.0,5.0,3.0,,0.07272727272727272,0.05,0.13636363636363635,1.0,0.38461538461538464,0.5634833333333333,,,,,,,1.0,3.0,,,,,0.12698412698412698,,,,,,,,,,,,,,,0.4,3.0,,,,,True
2547,1610612748,Chris Bosh,Chris Bosh,2547,MIA,55369.0,923,195,1745,1741,428.0,389.0,174.0,3486,92.0,131.0,20.0,25.0,23.0,63.0,52.0,106.0,2.0,4.0,,,3.0,12.0,1.0,1.0,3.0,167.0,300,5.0,16.0,121.0,470.0,1805,31.0,53.0,1.0,18.0,80.0,30.0,46.0,1.0,3.0,39.0,102.0,232.0,102.0,15.0,12.0,3.0,16.0,28.0,16.0,44.0,10.0,6.0,23.0,104.0,24.0,42.0,35.0,105.0,12.0,152.0,70.0,222.0,20.0,12.0,8.0,30.0,5.0,12.0,26.0,4.0,18.0,56.0,7.0,12.0,27.0,67.0,7.0,111.0,152.0,68.0,12.0,,,40.0,23.0,102.0,421.0,5.0,12.0,0.6946107784431138,0.7532467532467533,1.0,0.3125,0.3333333333333333,0.3125,0.5566666666666666,0.5849056603773585,0.6521739130434783,0.5522151898734177,0.5740740740740741,0.6428571428571429,0.6062176165803109,0.6060606060606061,0.7214285714285714,0.05063291139240506,0.05333333333333334,0.07936507936507936,22.771767130345182,0.5357142857142857,0.3157894736842105,0.16228748068006182,0.0911062906724512,0.13513513513513514,0.09917355371900827,0.1545253863134658,0.09388335704125178,0.10884353741496598,0.09090909090909091,0.1111111111111111,0.1277533039647577,0.16580310880829016,0.19383259911894274,0.13259668508287292,0.14102564102564102,0.575,0.41455696202531644,0.7022900763358778,0.7666666666666667,0.6847826086956522,0.19936708860759494,0.36507936507936506,0.39655172413793105,0.4782608695652174,0.33544303797468356,0.49056603773584906,0.49056603773584906,0.8076923076923077,0.012658227848101266,0.5,0.5,1.0,0.0379746835443038,0.25,0.25,1.0,0.018518518518518517,0.5102040816326531,0.8,,,0.061224489795918366,0.3333333333333333,0.4651898734177215,0.25,0.5052810126582278,0.5305755102040816,0.18181818181818182,0.18994413407821228,0.1702127659574468,0.2170212765957447,8.913,24.637500000000003,0.24527220630372493,25.0,39.0,26.0,4.0,7.0,,4.0,6.0,1.0,8.0,4.0,10.0,40.0,29.0,9.0,1.0,0.07547169811320754,0.087248322147651,0.07878787878787878,0.05511811023622047,0.7222222222222222,0.6410256410256411,0.5615463414634146,,,,,,2.0,3.0,2.0,,1.0,2.0,,0.08396946564885496,,,,,,2.0,,,,,,,,,0.28,3.0,1.0,,3.0,,True
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,12332.0,206,61,385,396,114.0,112.0,36.0,781,14.0,25.0,2.0,6.0,1.0,2.0,7.0,17.0,,,,,,,,,,22.0,44,,,3.0,47.0,394,2.0,4.0,,2.0,6.0,3.0,10.0,,,2.0,8.0,40.0,4.0,,,,6.0,2.0,4.0,6.0,1.0,3.0,1.0,16.0,8.0,10.0,14.0,30.0,7.0,51.0,18.0,69.0,6.0,4.0,2.0,3.0,,1.0,4.0,,2.0,7.0,2.0,1.0,18.0,27.0,2.0,11.0,3.0,1.0,1.0,,,2.0,1.0,8.0,114.0,3.0,1.0,0.9090909090909091,1.0,,,,,0.5,0.5,0.3,0.5,0.5,0.3,0.5222222222222223,0.6,0.36363636363636365,,0.13636363636363635,,12.322274881516588,0.42857142857142855,0.5833333333333334,0.25,0.10309278350515463,0.25925925925925924,0.12121212121212122,0.25287356321839083,0.11042944785276074,0.16666666666666666,0.1282051282051282,0.1111111111111111,0.1956521739130435,0.3125,0.2619047619047619,0.3157894736842105,0.125,0.5,0.5681818181818182,0.56,0.7368421052631579,0.8571428571428571,0.045454545454545456,0.5,0.5,1.0,0.38636363636363635,0.4117647058823529,0.4117647058823529,1.0,,,,,,,,,,0.6,0.3333333333333333,,,,,0.5681818181818182,,0.5278522727272726,0.51467,0.022727272727272728,0.022727272727272728,0.1276595744680851,0.1702127659574468,7.959090909090907,,0.2961038961038961,2.0,4.0,4.0,,,,,,7.0,2.0,1.0,1.0,2.0,2.0,,,,0.125,0.046511627906976744,,1.0,0.5,0.5594,,,,,,1.0,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,1.0,True
951,1610612748,Ray Allen,Ray Allen,951,MIA,66327.0,1105,62,2047,2047,659.0,573.0,198.0,4094,47.0,77.0,14.0,19.0,13.0,39.0,20.0,59.0,36.0,75.0,13.0,27.0,41.0,107.0,11.0,14.0,32.0,80.0,175,77.0,182.0,75.0,466.0,2198,8.0,21.0,17.0,3.0,34.0,18.0,38.0,27.0,59.0,35.0,152.0,82.0,78.0,213.0,106.0,41.0,10.0,35.0,30.0,65.0,13.0,17.0,24.0,160.0,10.0,17.0,32.0,64.0,1.0,97.0,27.0,124.0,32.0,24.0,8.0,32.0,5.0,21.0,18.0,1.0,11.0,50.0,3.0,14.0,34.0,63.0,5.0,61.0,85.0,25.0,12.0,,,7.0,5.0,149.0,653.0,6.0,9.0,0.5125,0.5125,0.922077922077922,0.4230769230769231,0.4576271186440678,0.425414364640884,0.45714285714285713,0.38095238095238093,0.47368421052631576,0.5476190476190477,0.40789473684210525,0.6030927835051546,0.5788113695090439,0.425,0.6460176991150443,0.5098039215686274,0.05714285714285714,0.07692307692307693,19.293598233995585,0.64,0.017543859649122806,0.09411764705882353,0.029513888888888888,0.10738255033557047,0.03194888178913738,0.09815950920245399,0.030371203599550055,0.02702702702702703,0.0213903743315508,0.047619047619047616,0.06772908366533864,0.10824742268041238,0.11063829787234042,0.11363636363636363,0.08974358974358974,0.7142857142857143,0.21568627450980393,0.6103896103896104,0.6438356164383562,0.5531914893617021,0.1092436974789916,0.3333333333333333,0.3611111111111111,0.15384615384615385,0.16526610644257703,0.3389830508474576,0.35714285714285715,0.65,0.21008403361344538,0.48,0.4864864864864865,0.9722222222222222,0.29971988795518206,0.38317757009345793,0.38317757009345793,0.8780487804878049,0.2894736842105263,0.1958762886597938,0.7368421052631579,0.27835051546391754,0.48148148148148145,0.32989690721649484,0.4375,0.7254901960784313,0.3867924528301887,0.5323029661016948,0.5296263157894737,0.06666666666666667,0.12953367875647667,0.07296137339055794,0.3261802575107296,8.92285714285714,24.750549450549457,0.32193453834880315,3.0,5.0,,,5.0,1.0,3.0,3.0,,,2.0,7.0,7.0,3.0,2.0,,,0.028901734104046242,0.03211009174311927,0.0273224043715847,0.13157894736842105,0.6,0.5044555555555554,6.0,2.0,5.0,18.0,1.0,3.0,8.0,1.0,1.0,,18.0,0.29411764705882354,0.05194805194805195,0.15789473684210525,0.18181818181818182,3.0,1.0,,2.0,0.005494505494505495,0.013333333333333334,0.5,0.6666666666666666,0.5,,,,,2.0,,0.05084745762711865,,,True
