EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Corner3Assists,OffThreePtRebounds,FTDefRebounds,DeadBallTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,LostBallSteals,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,BlocksRecoveredPct,HeaveAttempts,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedLongMidRange,SelfORebPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,on,PenaltyCorner3FGA,PenaltyCorner3Frequency,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Blocked3s,BlockedArc3,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,4696.0,78,-7,142,147,47,50,19,289,4.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,1.0,2.0,8.0,18.0,2.0,6.0,22.0,156,1.0,1.0,1.0,2.0,3.0,6.0,2.0,2.0,8.0,2.0,14.0,2.0,1.0,8.0,1.0,9.0,1.0,4.0,1.0,3.0,19.0,1.0,1.0,3.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,9.0,3.0,7.0,3.0,5.0,1.0,1.0,1.0,8.0,47,0.125,0.125,0.4444444444444444,1.0,0.5,0.4,0.5,0.375,0.5,0.5,0.4444444444444444,0.1,0.05555555555555555,0.3333333333333333,14.906832298136646,1.0,0.05454545454545454,0.021739130434782608,0.07692307692307693,0.058823529411764705,0.015873015873015872,0.08333333333333333,0.13636363636363635,0.1111111111111111,0.35,0.5714285714285714,0.5714285714285714,0.15,0.3333333333333333,0.5,0.4,0.375,0.375,0.3333333333333333,0.1,0.5,1.0,0.5,0.125,1.0,0.25,0.45,0.4806525,0.6314500000000001,0.44496874999999997,0.22727272727272727,0.25,0.09090909090909091,0.36363636363636365,10.105555555555556,25.25,0.33098591549295775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,7925.0,132,-3,237,245,32,41,34,482,11.0,14.0,2.0,2.0,1.0,1.0,2.0,10.0,1.0,9.0,9.0,1.0,3.0,14.0,33.0,13.0,10.0,50.0,252,3.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,10.0,16.0,12.0,9.0,3.0,9.0,1.0,10.0,,1.0,1.0,7.0,21.0,3.0,2.0,14.0,18.0,5.0,23.0,5.0,5.0,4.0,3.0,1.0,5.0,9.0,12.0,12.0,,15.0,,7.0,1.0,,1.0,10.0,32,0.5714285714285714,0.6666666666666666,0.42424242424242425,1.0,1.0,0.43478260869565216,0.75,1.0,0.4716981132075472,0.75,1.0,0.2826086956521739,0.09090909090909091,0.2,20.938628158844764,0.8,0.1414141414141414,0.03125,0.09523809523809523,0.13333333333333333,0.04032258064516129,0.038461538461538464,0.175,0.058823529411764705,0.30434782608695654,0.7857142857142857,0.8461538461538461,0.21739130434782608,0.2,0.25,0.1956521739130435,0.1111111111111111,0.1111111111111111,1.0,0.1956521739130435,0.5,1.0,0.25,0.25,1.0,0.75,0.5869565217391305,0.5238326086956522,0.58355,0.6019875,0.1509433962264151,0.175,0.12,0.2,7.927272727272728,24.653846153846153,0.1350210970464135,2.0,4.0,2.0,2.0,4.0,2.0,12.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3076923076923077,0.6666666666666666,0.3076923076923077,0.07142857142857142,0.4,0.07142857142857142,0.030303030303030304,0.02702702702702703,0.09090909090909091,0.11538461538461539,0.12121212121212122,0.25,0.5454545454545454,0.5,0.08695652173913043,0.5,0.5,1.0,0.2222222222222222,0.2222222222222222,1.0,0.6666666666666666,0.2222222222222222,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,431.0,7,-12,14,14,4,4,1,28,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,9272.0,155,-21,279,288,51,50,41,567,11.0,14.0,3.0,3.0,1.0,1.0,4.0,8.0,,,,,,15.0,22.0,,13.0,43.0,302,5.0,6.0,,11.0,1.0,2.0,,5.0,7.0,18.0,12.0,,,3.0,2.0,5.0,1.0,3.0,,,12.0,7.0,3.0,7.0,12.0,7.0,19.0,2.0,,2.0,,2.0,7.0,14.0,22.0,20.0,,25.0,3.0,12.0,11.0,9.0,11.0,7.0,51,0.6,0.6923076923076923,0.6818181818181818,0.8333333333333334,0.5,0.6818181818181818,0.8333333333333334,0.5,0.6515151515151515,0.6111111111111112,0.5833333333333334,,,,12.307692307692308,0.2857142857142857,0.0603448275862069,0.06363636363636363,0.125,0.07142857142857142,0.04895104895104895,0.14285714285714285,0.08333333333333333,0.05263157894736842,0.6363636363636364,0.7857142857142857,0.7857142857142857,0.36363636363636365,0.5,0.5,,,,,,0.5,1.0,,0.5,1.0,,0.6363636363636364,0.5383,0.5120333333333333,0.5407500000000001,0.3870967741935484,0.3870967741935484,0.2558139534883721,0.16279069767441862,3.1363636363636362,,0.1827956989247312,,,,,,,,4.0,,1.0,,2.0,5.0,,1.0,,,2.0,,,,,,0.3333333333333333,,0.02564102564102564,0.046511627906976744,,,0.08333333333333333,0.4,0.7272727272727273,0.25,,,,,,,,,,,1.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,0.36363636363636365,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,8825.0,147,-28,266,275,42,44,40,541,13.0,26.0,2.0,2.0,1.0,2.0,3.0,4.0,11.0,24.0,14.0,,5.0,27.0,54.0,17.0,18.0,84.0,292,4.0,6.0,,8.0,2.0,5.0,5.0,8.0,15.0,12.0,42.0,13.0,2.0,13.0,3.0,16.0,1.0,12.0,,1.0,35.0,4.0,1.0,14.0,15.0,6.0,21.0,6.0,3.0,4.0,2.0,2.0,8.0,5.0,7.0,21.0,,27.0,6.0,13.0,2.0,,2.0,15.0,42,0.2222222222222222,0.25,0.5,0.6666666666666666,0.4,0.4647887323943662,0.6666666666666666,0.35,0.5125,0.6666666666666666,0.5357142857142857,0.23943661971830985,0.037037037037037035,,28.29581993569132,0.5,0.1308411214953271,0.03773584905660377,0.043478260869565216,0.11538461538461539,0.043478260869565216,0.037037037037037035,0.15555555555555556,0.05555555555555555,0.36619718309859156,0.5,0.5416666666666666,0.056338028169014086,0.75,0.75,0.3380281690140845,0.4583333333333333,0.4583333333333333,0.2727272727272727,0.19718309859154928,0.3333333333333333,1.0,,0.2,0.5,0.5,0.6056338028169014,0.5212564285714285,0.47775999999999996,0.5204333333333333,0.17721518987341772,0.21311475409836064,0.09523809523809523,0.17857142857142858,9.742592592592594,26.976470588235294,0.15789473684210525,2.0,3.0,2.0,1.0,4.0,1.0,12.0,6.0,2.0,2.0,2.0,,4.0,,,,1.0,1.0,1.0,0.23529411764705882,0.2,0.25,0.07692307692307693,,0.0625,0.05263157894736842,0.024390243902439025,0.07692307692307693,0.10344827586206896,0.12121212121212122,,0.15384615384615385,0.3333333333333333,0.04225352112676056,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,0.14285714285714285,1.0,0.2,0.15384615384615385,0.05555555555555555,,3.0,,2.0,,,1.0,,,,,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,0.08108108108108109,,,,,,,True,,,,,,,,,,,,,,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,8012.0,134,-27,244,251,33,23,36,495,6.0,13.0,2.0,5.0,,1.0,6.0,16.0,10.0,25.0,7.0,,1.0,22.0,54.0,8.0,10.0,57.0,258,4.0,9.0,,9.0,2.0,8.0,1.0,2.0,6.0,22.0,22.0,7.0,6.0,5.0,1.0,6.0,1.0,3.0,1.0,1.0,13.0,7.0,5.0,19.0,25.0,8.0,33.0,8.0,3.0,6.0,,6.0,9.0,6.0,16.0,12.0,,14.0,2.0,7.0,1.0,,1.0,6.0,33,0.5,0.55,0.4074074074074074,0.4444444444444444,0.25,0.3790322580645161,0.4444444444444444,0.2222222222222222,0.41911764705882354,0.5,0.3,0.12903225806451613,0.1111111111111111,0.0625,27.017543859649123,0.6666666666666666,0.18446601941747573,0.06930693069306931,0.22727272727272727,0.192,0.06153846153846154,0.041666666666666664,0.28888888888888886,0.16666666666666666,0.20967741935483872,0.46153846153846156,0.75,0.25806451612903225,0.375,0.4,0.4032258064516129,0.4,0.4,0.5,0.11290322580645161,0.5555555555555556,0.4,,0.1111111111111111,,0.1111111111111111,0.3387096774193548,0.4615741935483871,0.5562,0.37626111111111116,0.1044776119402985,0.11864406779661017,0.15789473684210525,0.10526315789473684,11.287037037037036,26.1125,0.13524590163934427,,1.0,1.0,,1.0,,3.0,4.0,1.0,,1.0,1.0,3.0,1.0,1.0,,,,1.0,0.125,,0.125,0.38461538461538464,0.2,0.034482758620689655,0.05263157894736842,0.10256410256410256,0.041666666666666664,0.08,0.12121212121212122,0.5,0.3333333333333333,0.6666666666666666,0.016129032258064516,,,,0.14285714285714285,0.16666666666666666,1.0,,0.14285714285714285,,1.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,,,4.0,1.0,1.0,,2.0,,1.0,,1.0,0.06451612903225806,1.0,0.125,0.14285714285714285,,,,True,,,,,,,,,,,,,,
2407,1610612764,Jared Jeffries,Jared Jeffries,2407,WAS,6936.0,116,-12,206,213,39,32,33,419,7.0,17.0,2.0,7.0,1.0,3.0,,3.0,2.0,3.0,1.0,,,9.0,23.0,4.0,4.0,25.0,224,2.0,7.0,1.0,7.0,2.0,4.0,,2.0,6.0,16.0,2.0,1.0,3.0,5.0,2.0,7.0,1.0,1.0,4.0,,16.0,10.0,1.0,7.0,8.0,11.0,19.0,1.0,1.0,7.0,1.0,6.0,9.0,3.0,6.0,7.0,3.0,5.0,1.0,3.0,5.0,3.0,5.0,6.0,39,0.8888888888888888,1.0,0.391304347826087,0.2857142857142857,0.5,0.3888888888888889,0.25,0.5,0.43103448275862066,0.35,0.6,0.14814814814814814,0.13043478260869565,,15.637860082304526,0.7777777777777778,0.07777777777777778,0.12048192771084337,0.0625,0.07547169811320754,0.102803738317757,0.047619047619047616,0.10810810810810811,0.07142857142857142,0.6296296296296297,0.4117647058823529,0.5,0.1111111111111111,,,0.1111111111111111,0.6666666666666666,0.6666666666666666,1.0,0.037037037037037035,0.875,0.2857142857142857,,0.75,0.3333333333333333,,0.7777777777777778,0.5878555555555556,0.5980285714285714,0.593575,0.10344827586206896,0.12,0.28,0.24,4.656521739130435,23.6,0.18932038834951456,1.0,3.0,,,1.0,,3.0,2.0,,1.0,1.0,,2.0,1.0,1.0,,,2.0,1.0,0.25,,0.25,0.17647058823529413,,0.041666666666666664,0.08823529411764706,0.21428571428571427,0.05263157894736842,,0.10344827586206896,,0.8571428571428571,,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,,,,,,,3.0,,,,2.0,,,2.0,,,,,0.4,,1.0,1.0,,,,0.07142857142857142,,,,1.0,0.5,0.125,True,,,,,,,,,,,,,,
2873,1610612764,Billy Thomas,Billy Thomas,2873,WAS,263.0,4,5,7,7,7,6,1,14,,,,,,,,,,2.0,1.0,,1.0,,2.0,1.0,,,5,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,0.3333333333333333,,,37.5,,0.25,,,0.25,,,,,,,,,,,0.6666666666666666,,,,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,0.43615,,0.43615,,,,,17.5,24.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,192.0,3,-4,6,5,6,5,1,11,,,,,,,,,,,,,,,,1.0,,,10,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1.0,,,14.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.561,,0.561,,,,,,22.7,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,1.0,,,,,,,,,,,,
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,8282.0,138,26,262,254,139,121,31,516,10.0,11.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,8.0,5.0,,2.0,17.0,23.0,9.0,14.0,57.0,292,2.0,2.0,,4.0,5.0,7.0,3.0,10.0,20.0,18.0,16.0,5.0,,7.0,4.0,11.0,3.0,4.0,1.0,2.0,26.0,1.0,5.0,6.0,11.0,1.0,12.0,1.0,,7.0,4.0,3.0,8.0,2.0,3.0,14.0,1.0,15.0,1.0,5.0,,,,20.0,139,0.5294117647058824,0.5294117647058824,0.7391304347826086,1.0,0.7142857142857143,0.671875,1.0,0.5,0.7307692307692307,1.0,0.6666666666666666,0.28125,,,15.771812080536913,0.875,0.06818181818181818,0.014705882352941176,0.16666666666666666,0.09322033898305085,0.00909090909090909,,0.027777777777777776,0.1,0.34375,0.9090909090909091,0.9090909090909091,0.125,0.5,0.5,0.25,0.625,0.625,0.6,0.15625,0.5,1.0,,0.4,1.0,0.2,0.625,0.5261140625,0.41459999999999997,0.5684,0.1388888888888889,0.18518518518518517,0.07017543859649122,0.3508771929824561,7.839130434782608,24.733333333333334,0.5305343511450382,2.0,4.0,1.0,,3.0,,9.0,,1.0,1.0,,,1.0,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,0.03571428571428571,,0.12121212121212122,0.05263157894736842,0.3,0.6,,0.125,0.5,0.5,1.0,0.2,0.2,1.0,,0.2,,,1.0,1.0,,6.0,,3.0,,,,,4.0,,,,,,,,,,,,,,,False,1.0,0.1,,,,,,,,,,,,
